562007,B1-1556734,69
542151,B1-1556757,80.5
541661,B1-1556755,80.5
538594,B1-1556739,100.13
538508,B1-1556748,155.5
561341,B1-1556750,357.58
544783,B1-1556725,85
503759,B1-1556721,49.45
562991,B1-1556752,66.7
521456,B1-1556727,51.75
551113,B1-1556723,75
549051,B1-1556744,142
510093,B1-1556720,67.87
510408,B1-1556719,49.78
561063,B1-1556754,616.38
562622,B1-1556741,92
529167,B1-1556749,222.03
540711,B1-1556758,162.37
562928,B1-1556730,99.91
551502,B1-1556733,295.63
535920,B1-1556746,76.7
535924,B1-1556747,218.5
549097,B1-1556743,177.48
541306,B1-1556742,80.5
562008,B1-1556732,203.49
536664,B1-1556729,612.9
541662,B1-1556753,62.58
549373,B1-1556745,122
542152,B1-1556756,80.5
533953,B1-1556737,177.1
562922,B1-1556736,80.5
550976,B1-1556740,274.94
550186,B1-1556751,80.5
562199,B1-1556731,107.59
562199,B1-1556738,187
