541306,B1-1505758,80.5,SUCCESS 
551113,B1-1505739,75,SUCCESS 
503759,B1-1505737,49.45,SUCCESS 
562545,B1-1505740,1284.8,SUCCESS 
533953,B1-1505751,202.45,SUCCESS 
538594,B1-1505753,35.65,SUCCESS 
562199,B1-1505752,282.93,SUCCESS 
542152,B1-1505769,80.5,SUCCESS 
550976,B1-1505755,263.13,SUCCESS 
562199,B1-1505745,215.31,SUCCESS 
561063,B1-1505767,616.38,SUCCESS 
510093,B1-1505736,249.77,SUCCESS 
551502,B1-1505747,253.41,SUCCESS 
535924,B1-1505761,230,SUCCESS 
545447,B1-1505742,67.5,SUCCESS 
549051,B1-1505760,149.99,SUCCESS 
538508,B1-1505762,106.3,SUCCESS 
562622,B1-1505757,23.74,SUCCESS 
542151,B1-1505770,80.5,SUCCESS 
549097,B1-1505759,615.47,SUCCESS 
