540711,B1-1617627,162.37,SUCCESS 
562929,B1-1617606,120.75,SUCCESS 
563922,B1-1617603,143.75,SUCCESS 
562199,B1-1617601,263.79,SUCCESS 
542152,B1-1617625,80.5,SUCCESS 
544025,B1-1617609,85,SUCCESS 
533953,B1-1617600,106.25,SUCCESS 
563535,B1-1617618,20.7,SUCCESS 
562935,B1-1617588,148.5,SUCCESS 
541662,B1-1617621,1.15,SUCCESS 
562199,B1-1617594,76.06,SUCCESS 
513670,B1-1617580,32.2,SUCCESS 
536664,B1-1617591,612.9,SUCCESS 
561341,B1-1617617,326.42,SUCCESS 
535920,B1-1617612,76.7,SUCCESS 
562991,B1-1617620,66.7,SUCCESS 
542151,B1-1617626,80.5,SUCCESS 
549373,B1-1617611,255.99,SUCCESS 
562805,B1-1617623,80.5,SUCCESS 
562922,B1-1617598,80.5,SUCCESS 
562928,B1-1617593,99.91,SUCCESS 
521456,B1-1617589,51.75,SUCCESS 
535924,B1-1617613,241.5,SUCCESS 
563250,B1-1617599,115.19,SUCCESS 
510408,B1-1617579,80.5,SUCCESS 
562622,B1-1617605,92,SUCCESS 
561063,B1-1617622,564.41,SUCCESS 
538594,B1-1617602,207.12,SUCCESS 
562008,B1-1617595,209.24,SUCCESS 
544783,B1-1617586,85,SUCCESS 
520910,B1-1617615,924.5,SUCCESS 
529167,B1-1617616,235.9,SUCCESS 
562005,B1-1617592,80.5,SUCCESS 
538508,B1-1617614,155.5,SUCCESS 
551502,B1-1617596,321.72,SUCCESS 
510093,B1-1617581,119.62,SUCCESS 
549097,B1-1617608,16.68,SUCCESS 
541661,B1-1617624,80.5,SUCCESS 
503759,B1-1617582,49.45,SUCCESS 
550976,B1-1617604,279.75,SUCCESS 
551113,B1-1617584,75,SUCCESS 
549051,B1-1617610,142,SUCCESS 
550186,B1-1617619,80.5,SUCCESS 
541306,B1-1617607,80.5,SUCCESS 
